,元春,可卿,司棋,妙玉,娇杏,宝玉,宝珠,宝蟾,宝钗,小红,尤三姐,尤二姐,尤氏,巧姐,平儿,惜春,探春,晴雯,李纨,李纹,李绮,柳五儿,湘云,熙凤,玉钏,王夫人,瑞珠,秦钟,紫鹃,茜雪,莺儿,薛姨妈,薛宝琴,薛蟠,袭人,贾政,贾敬,贾母,贾环,贾珍,贾琏,贾瑞,贾蓉,贾赦,赵姨娘,迎春,邢夫人,邢岫烟,金钏,香菱,鸳鸯,麝月,黛玉
元春,10,0,1,0,0,6,0,0,4,1,0,0,1,0,1,3,4,1,0,0,0,0,1,0,0,6,0,1,1,0,0,3,0,0,1,2,0,8,2,1,1,0,0,3,0,3,2,0,1,2,1,0,3
可卿,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
司棋,1,0,18,0,0,7,0,0,6,1,0,0,2,0,5,3,9,5,0,0,0,0,2,0,1,7,0,0,3,0,0,2,0,0,3,0,0,4,1,1,1,0,0,0,3,11,3,0,1,3,4,0,4
妙玉,0,0,0,9,0,6,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3
娇杏,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宝玉,6,1,7,6,0,659,1,0,115,3,4,5,33,1,39,20,68,88,0,4,3,2,61,0,2,133,0,31,29,1,0,59,1,20,141,52,2,163,26,35,30,6,22,23,21,42,30,5,5,24,31,0,133
宝珠,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
宝蟾,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
宝钗,4,0,6,2,0,115,0,1,180,1,1,1,9,1,16,12,47,12,0,5,3,0,37,0,0,55,0,1,8,0,0,39,1,10,35,7,0,49,6,6,4,0,1,4,5,28,11,4,2,21,12,0,65
小红,1,0,1,0,0,3,0,0,1,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1
